DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,PRICE_CHANGE,PRICE_CHANGE_PCT,CREATED_AT
2025-09-12,AAPL,229.22,234.51,229.02,234.07,55824216,4.04,1.76,2026-01-11 11:52:30.837
2025-09-12,AAPL,229.22,234.51,229.02,234.07,55824216,4.04,1.76,2026-01-11 11:54:14.669
2025-09-15,AAPL,237,238.19,235.03,236.7,42699524,2.63,1.12,2026-01-11 11:52:30.837
2025-09-15,AAPL,237,238.19,235.03,236.7,42699524,2.63,1.12,2026-01-11 11:54:14.669
2025-09-16,AAPL,237.175,241.22,236.3235,238.15,63421099,1.45,0.61,2026-01-11 11:52:30.837
2025-09-16,AAPL,237.175,241.22,236.3235,238.15,63421099,1.45,0.61,2026-01-11 11:54:14.669
2025-09-17,AAPL,238.97,240.1,237.7301,238.99,46508017,0.84,0.35,2026-01-11 11:52:30.837
2025-09-17,AAPL,238.97,240.1,237.7301,238.99,46508017,0.84,0.35,2026-01-11 11:54:14.669
2025-09-18,AAPL,239.97,241.2,236.65,237.88,44249576,-1.11,-0.46,2026-01-11 11:52:30.837
2025-09-18,AAPL,239.97,241.2,236.65,237.88,44249576,-1.11,-0.46,2026-01-11 11:54:14.669
2025-09-19,AAPL,241.225,246.3,240.2106,245.5,163741314,7.62,3.2,2026-01-11 11:52:30.837
2025-09-19,AAPL,241.225,246.3,240.2106,245.5,163741314,7.62,3.2,2026-01-11 11:54:14.669
2025-09-22,AAPL,248.3,256.64,248.12,256.08,105517416,10.58,4.31,2026-01-11 11:54:14.669
2025-09-22,AAPL,248.3,256.64,248.12,256.08,105517416,10.58,4.31,2026-01-11 11:52:30.837
2025-09-23,AAPL,255.875,257.34,253.58,254.43,60275187,-1.65,-0.64,2026-01-11 11:54:14.669
2025-09-23,AAPL,255.875,257.34,253.58,254.43,60275187,-1.65,-0.64,2026-01-11 11:52:30.837
2025-09-24,AAPL,255.22,255.74,251.04,252.31,42303710,-2.12,-0.83,2026-01-11 11:54:14.669
2025-09-24,AAPL,255.22,255.74,251.04,252.31,42303710,-2.12,-0.83,2026-01-11 11:52:30.837
2025-09-25,AAPL,253.205,257.17,251.712,256.87,55202075,4.56,1.81,2026-01-11 11:54:14.669
2025-09-25,AAPL,253.205,257.17,251.712,256.87,55202075,4.56,1.81,2026-01-11 11:52:30.837
2025-09-26,AAPL,254.095,257.6,253.78,255.46,46076258,-1.41,-0.55,2026-01-11 11:52:30.837
2025-09-26,AAPL,254.095,257.6,253.78,255.46,46076258,-1.41,-0.55,2026-01-11 11:54:14.669
2025-09-29,AAPL,254.56,255,253.01,254.43,40127687,-1.03,-0.4,2026-01-11 11:54:14.669
2025-09-29,AAPL,254.56,255,253.01,254.43,40127687,-1.03,-0.4,2026-01-11 11:52:30.837
2025-09-30,AAPL,254.855,255.919,253.11,254.63,37704259,0.2,0.08,2026-01-11 11:54:14.669
2025-09-30,AAPL,254.855,255.919,253.11,254.63,37704259,0.2,0.08,2026-01-11 11:52:30.837
2025-10-01,AAPL,255.04,258.79,254.93,255.45,48713940,0.82,0.32,2026-01-11 11:52:30.837
2025-10-01,AAPL,255.04,258.79,254.93,255.45,48713940,0.82,0.32,2026-01-11 11:54:14.669
2025-10-02,AAPL,256.575,258.18,254.15,257.13,42630239,1.68,0.66,2026-01-11 11:52:30.837
2025-10-02,AAPL,256.575,258.18,254.15,257.13,42630239,1.68,0.66,2026-01-11 11:54:14.669
2025-10-03,AAPL,254.665,259.24,253.95,258.02,49155614,0.89,0.35,2026-01-11 11:52:30.837
2025-10-03,AAPL,254.665,259.24,253.95,258.02,49155614,0.89,0.35,2026-01-11 11:54:14.669
2025-10-06,AAPL,257.99,259.07,255.05,256.69,44664118,-1.33,-0.52,2026-01-11 11:52:30.837
2025-10-06,AAPL,257.99,259.07,255.05,256.69,44664118,-1.33,-0.52,2026-01-11 11:54:14.669
2025-10-07,AAPL,256.805,257.4,255.43,256.48,31955776,-0.21,-0.08,2026-01-11 11:52:30.837
